Logger for Validator: v4######################## Logger for Validator: v4 ######################## ######################## Logger for Validator: v4 ######################## 

######################## Logger for Validator: v4 ######################## 

######################## Logger for Validator: v4 ######################## 

######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:32:48   		 [ Self: v4 Client Authentication Successful ]
[INFO]: 2021-10-17 20:32:48   		 [ Self: v4 Client Authentication Successful ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:32:59   		 [ Self: v4 Client Authentication Successful ]
[INFO]: 2021-10-17 20:32:59   		 [ Self: v4 Client Authentication Successful ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:33:25   		 [ Self: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:33:25   		 [ Self: v4 Client c2 Authentication Successful ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:36:11   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:36:11   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:36:13   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:36:13   		 [ Validator: v4 Client c1 Authentication Successful ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:42:12   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:42:12   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 created TC message ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-17 20:42:14   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:42:16   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:42:16   		 [ Validator: v4 sending Proposal message to every other validators ]
[INFO]: 2021-10-17 20:42:16   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:42:16   		 [ Validator: v4 sending Proposal message to every other validators ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:45:12   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:12   		 [ Validator: v4 Client c1 Authentication Successful ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:45:36   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:36   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:45:36   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-17 20:45:36   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:36   		 [ Validator: v4 returning from empty round  ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:45:48   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:45:48   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:48   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-17 20:45:48   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:48   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 created TC message ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-17 20:45:50   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:45:52   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:52   		 [ Validator: v4 sending Proposal message to every other validators ]
[INFO]: 2021-10-17 20:45:52   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:45:52   		 [ Validator: v4 sending Proposal message to every other validators ]
[INFO]: 2021-10-17 20:45:52   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-17 20:45:52   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:52   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:54   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:45:54   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:54   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-17 20:45:54   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:54   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:56   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:56   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:45:56   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v3 ]
[INFO]: 2021-10-17 20:45:56   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:56   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:45:58   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:45:58   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:45:58   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:45:58   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:00   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:00   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:00   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:00   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:02   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:02   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:02   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:02   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-17 20:46:04   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:46:06   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:06   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:06   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:06   		 [ Validator: v4 sending Proposal message to every other validators ]
[INFO]: 2021-10-17 20:46:06   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-17 20:46:06   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:46:06   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:46:08   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:08   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:08   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:08   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:10   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:10   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:10   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:10   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:12   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:12   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:12   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:12   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:14   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:14   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:14   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:14   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:16   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:16   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:16   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:16   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:18   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:18   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:18   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:46:18   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c2 ]
[INFO]: 2021-10-17 20:46:20   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:46:20   		 [ Validator: v4 Sending Result Response:SUCCESS directly as it is cached already to Client: c1 ]
[INFO]: 2021-10-17 20:46:20   		 [ Validator: v4 Client c2 Authentication Successful ]
